"Techstack","Links"
"React, Node.js, MongoDB","https://example.com/react-portfolio"
"Angular, .NET, SQL Server","https://example.com/angular-portfolio"
"Vue.js, Ruby on Rails, PostgreSQL","https://example.com/vue-portfolio"
"Python, Django, MySQL","https://example.com/python-portfolio"
"Java, Spring Boot, Oracle","https://example.com/java-portfolio"
"Flutter, Firebase, GraphQL","https://example.com/flutter-portfolio"
"WordPress, PHP, MySQL","https://example.com/wordpress-portfolio"
"Magento, PHP, MySQL","https://example.com/magento-portfolio"
"React Native, Node.js, MongoDB","https://example.com/react-native-portfolio"
"iOS, Swift, Core Data","https://example.com/ios-portfolio"
"Android, Java, Room Persistence","https://example.com/android-portfolio"
"Kotlin, Android, Firebase","https://example.com/kotlin-android-portfolio"
"Android TV, Kotlin, Android NDK","https://example.com/android-tv-portfolio"
"iOS, Swift, ARKit","https://example.com/ios-ar-portfolio"
"Cross-platform, Xamarin, Azure","https://example.com/xamarin-portfolio"
"Backend, Kotlin, Spring Boot","https://example.com/kotlin-backend-portfolio"
"Frontend, TypeScript, Angular","https://example.com/typescript-frontend-portfolio"
"Full-stack, JavaScript, Express.js","https://example.com/full-stack-js-portfolio"
"Machine Learning, Python, TensorFlow","https://example.com/ml-python-portfolio"
"DevOps, Jenkins, Docker","https://example.com/devops-portfolio"
"Blockchain, Solidity, Ethereum","https://example.com/blockchain-portfolio"
"AI, PyTorch, OpenAI","https://example.com/ai-pytorch-portfolio"
"Data Science, R, Shiny","https://example.com/datascience-r-portfolio"
"Cybersecurity, Kali Linux, Metasploit","https://example.com/cybersecurity-portfolio"
"Embedded Systems, C++, Arduino","https://example.com/embedded-portfolio"
"Cloud, AWS, Terraform","https://example.com/cloud-aws-portfolio"
"Big Data, Hadoop, Spark","https://example.com/bigdata-portfolio"
"Game Development, Unity, C#","https://example.com/game-dev-portfolio"
"UI/UX, Figma, Adobe XD","https://example.com/uiux-portfolio"
"Automation, Selenium, Python","https://example.com/automation-portfolio"
"Database, PostgreSQL, MongoDB","https://example.com/database-portfolio"
"Networking, Cisco, Palo Alto","https://example.com/networking-portfolio"
"Mobile Development, React Native, Firebase","https://example.com/mobile-dev-portfolio"
"AR/VR, Unity, Oculus SDK","https://example.com/ar-vr-portfolio"
"Data Engineering, Python, Airflow","https://example.com/data-engineering-portfolio"
"Frontend, React, Tailwind CSS","https://example.com/frontend-react-portfolio"
"Security, Python, Wireshark","https://example.com/security-portfolio"
"Data Analytics, Excel, Tableau","https://example.com/data-analytics-portfolio"
"Microservices, Java, Kubernetes","https://example.com/microservices-portfolio"
"AI, TensorFlow, Keras","https://example.com/ai-tensorflow-portfolio"
"Digital Marketing, SEO, Google Analytics","https://example.com/digital-marketing-portfolio"
"Cloud, Azure, Kubernetes","https://example.com/cloud-azure-portfolio"
"DevOps, GitLab, Docker","https://example.com/devops-gitlab-portfolio"
"Data Science, Python, Pandas","https://example.com/data-science-pandas-portfolio"
"Web Development, HTML, CSS","https://example.com/web-dev-portfolio"
